"FullName","Name","Extension","Length","CreationTime","LastWriteTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\prettier\index.js","index.js",".js","1434273","15/6/2026 12:28:20 PM","9/6/2026 3:43:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\prettier\index.js","index.js",".js","1434273","9/6/2026 3:43:04 PM","9/6/2026 3:43:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\@babel\parser\lib\index.js.map","index.js.map",".map","1434020","17/6/2026 7:22:09 AM","9/6/2026 8:49:29 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\@babel\parser\lib\index.js.map","index.js.map",".map","1434020","17/6/2026 3:38:17 AM","9/6/2026 12:03:54 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\@babel\parser\lib\index.js.map","index.js.map",".map","1434020","9/6/2026 3:36:30 PM","9/6/2026 12:03:54 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\@babel\parser\lib\index.js.map","index.js.map",".map","1434020","15/6/2026 12:27:50 PM","9/6/2026 12:03:54 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\@babel\parser\lib\index.js.map","index.js.map",".map","1434020","17/6/2026 7:24:08 AM","17/6/2026 7:24:08 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\@babel\parser\lib\index.js.map","index.js.map",".map","1434020","9/6/2026 8:49:28 PM","9/6/2026 8:49:29 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\.vite\deps\recharts.js","recharts.js",".js","1279502","17/6/2026 7:22:07 AM","13/6/2026 2:59:44 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\.vite\deps\recharts.js","recharts.js",".js","1279502","13/6/2026 2:59:44 PM","13/6/2026 2:59:44 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\vite\dist\node\chunks\node.js","node.js",".js","1274847","9/6/2026 8:49:29 PM","9/6/2026 8:49:29 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\vite\dist\node\chunks\node.js","node.js",".js","1274847","17/6/2026 7:23:02 AM","9/6/2026 8:49:29 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\prettier\parser-typescript.js","parser-typescript.js",".js","1256493","9/6/2026 3:43:05 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\prettier\parser-typescript.js","parser-typescript.js",".js","1256493","17/6/2026 3:38:56 AM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\prettier\parser-typescript.js","parser-typescript.js",".js","1256493","15/6/2026 12:28:20 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\backend\node_modules\prettier\esm\parser-typescript.mjs","parser-typescript.mjs",".mjs","1256143","17/6/2026 3:38:56 AM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\prettier\esm\parser-typescript.mjs","parser-typescript.mjs",".mjs","1256143","15/6/2026 12:28:20 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\prettier\esm\parser-typescript.mjs","parser-typescript.mjs",".mjs","1256143","9/6/2026 3:43:05 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-09-9-hardening\03-housekeeping\backend-tree.txt","backend-tree.txt",".txt","1160868","18/6/2026 3:45:44 PM","18/6/2026 3:45:45 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\_operations\phase-09-9-hardening\06-golden-snapshot\reports\backend-tree.txt","backend-tree.txt",".txt","1160868","18/6/2026 5:01:16 PM","18/6/2026 3:45:45 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\react-dom\cjs\react-dom-profiling.development.js","react-dom-profiling.development.js",".js","1082082","9/6/2026 8:49:29 PM","9/6/2026 8:49:29 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\react-dom\cjs\react-dom-profiling.development.js","react-dom-profiling.development.js",".js","1082082","17/6/2026 7:22:50 AM","9/6/2026 8:49:29 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\react-dom\cjs\react-dom-profiling.development.js","react-dom-profiling.development.js",".js","1082082","9/6/2026 8:35:23 PM","9/6/2026 8:35:24 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\node_modules\react-dom\cjs\react-dom-client.development.js","react-dom-client.development.js",".js","1065698","9/6/2026 8:35:23 PM","9/6/2026 8:35:23 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase7b-security-complete\frontend\node_modules\react-dom\cjs\react-dom-client.development.js","react-dom-client.development.js",".js","1065698","17/6/2026 7:22:50 AM","9/6/2026 8:49:28 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\frontend\node_modules\react-dom\cjs\react-dom-client.development.js","react-dom-client.development.js",".js","1065698","9/6/2026 8:49:28 PM","9/6/2026 8:49:28 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\node_modules\prettier\parser-flow.js","parser-flow.js",".js","1054913","9/6/2026 3:43:04 PM","9/6/2026 3:43:05 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\snapshots\phase6c-complete\backend\node_modules\prettier\parser-flow.js","parser-flow.js",".js","1054913","15/6/2026 12:28:20 PM","9/6/2026 3:43:05 PM"
