"FullName","Name","Extension","Length","CreationTime","LastWriteTime","LastAccessTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10ZZ1-SOP-GOVERNANCE-AUDIT.ps1","L360-PHASE10ZZ1-SOP-GOVERNANCE-AUDIT.ps1",".ps1","14625","20/6/2026 11:08:59 AM","20/6/2026 11:09:00 AM","20/6/2026 10:29:49 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-SAFE-CLEANUP-V3.ps1","L360-SAFE-CLEANUP-V3.ps1",".ps1","8201","18/6/2026 5:45:07 PM","18/6/2026 5:45:08 PM","20/6/2026 10:29:49 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\Microsoft.Management.Deployment.winmd","Microsoft.Management.Deployment.winmd",".winmd","31648","23/5/2026 7:10:08 AM","23/5/2026 7:10:08 AM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\Microsoft.Services.Store.winmd","Microsoft.Services.Store.winmd",".winmd","4608","15/6/2026 10:04:34 PM","15/6/2026 10:04:34 PM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\OPERATIONS-INVENTORY.txt","OPERATIONS-INVENTORY.txt",".txt","71800","20/6/2026 6:50:35 AM","20/6/2026 6:50:35 AM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\package-lock.json","package-lock.json",".json","207071","9/6/2026 8:32:57 PM","20/6/2026 6:34:40 PM","20/6/2026 6:34:40 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\package.json","package.json",".json","521","9/6/2026 8:35:25 PM","20/6/2026 6:34:40 PM","20/6/2026 6:34:40 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\patch-phase6-runner-status.js","patch-phase6-runner-status.js",".js","696","15/6/2026 11:29:03 AM","15/6/2026 11:29:11 AM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE-LEDGER.md","PHASE-LEDGER.md",".md","746","17/6/2026 3:36:38 AM","17/6/2026 3:37:19 AM","20/6/2026 11:16:55 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE10V-FRONTEND-SMOKE-TEST.js","PHASE10V-FRONTEND-SMOKE-TEST.js",".js","4534","19/6/2026 11:34:12 AM","19/6/2026 11:43:46 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE10X3A-ENTERPRISE-ARCHITECTURE-REGISTRY.js","PHASE10X3A-ENTERPRISE-ARCHITECTURE-REGISTRY.js",".js","17243","19/6/2026 2:02:47 PM","19/6/2026 2:02:47 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE10X7-MASTER-GOVERNANCE-DOCS.js","PHASE10X7-MASTER-GOVERNANCE-DOCS.js",".js","12177","19/6/2026 3:28:38 PM","19/6/2026 3:28:38 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE10Y0-ENTERPRISE-MASTER-REGISTRY-DIGITAL-TWIN.js","PHASE10Y0-ENTERPRISE-MASTER-REGISTRY-DIGITAL-TWIN.js",".js","23190","19/6/2026 3:51:04 PM","19/6/2026 3:51:04 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\phase6-today-runner.bat","phase6-today-runner.bat",".bat","4408","15/6/2026 10:23:25 AM","15/6/2026 11:29:22 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE7C-AUTO-CRUD-SMOKE.bat","PHASE7C-AUTO-CRUD-SMOKE.bat",".bat","1476","17/6/2026 9:26:04 AM","17/6/2026 9:26:18 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE7C-AUTO-ROUTE-TESTS.bat","PHASE7C-AUTO-ROUTE-TESTS.bat",".bat","1204","17/6/2026 9:17:55 AM","17/6/2026 9:20:44 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE7C-AUTO-SECURITY-TESTS.bat","PHASE7C-AUTO-SECURITY-TESTS.bat",".bat","842","17/6/2026 9:23:50 AM","17/6/2026 9:24:06 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE7C-CLOSEOUT-TO-PHASE8.bat","PHASE7C-CLOSEOUT-TO-PHASE8.bat",".bat","5219","17/6/2026 10:50:34 AM","17/6/2026 10:50:56 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PHASE7C-TEST-PLAN.md","PHASE7C-TEST-PLAN.md",".md","741","17/6/2026 7:22:48 AM","17/6/2026 7:22:58 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\phase7_backend_file_inventory.txt","phase7_backend_file_inventory.txt",".txt","5484407","15/6/2026 12:34:18 PM","15/6/2026 12:36:08 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\POWERSHELL-INVENTORY.txt","POWERSHELL-INVENTORY.txt",".txt","28281","20/6/2026 6:50:58 AM","20/6/2026 6:50:59 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PROJECT-RULES.md","PROJECT-RULES.md",".md","637","17/6/2026 3:35:20 AM","17/6/2026 3:35:30 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PROJECT-STATUS.md","PROJECT-STATUS.md",".md","1036","17/6/2026 3:34:47 AM","17/6/2026 3:35:04 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\project-tree.txt","project-tree.txt",".txt","3182143","20/6/2026 11:07:17 AM","20/6/2026 11:07:39 AM","20/6/2026 11:07:47 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\PROJECT_FILE_TREE.txt","PROJECT_FILE_TREE.txt",".txt","1011570","13/6/2026 4:19:12 PM","13/6/2026 4:19:14 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\r.ok).length","r.ok).length",".length","38","19/6/2026 3:06:19 PM","19/6/2026 3:06:19 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\README.md","README.md",".md","38","9/6/2026 3:32:39 PM","9/6/2026 3:32:39 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\ROUTE-INVENTORY.txt","ROUTE-INVENTORY.txt",".txt","4718","20/6/2026 6:50:11 AM","20/6/2026 6:50:13 AM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\RUN-L360-SAFE-CLEANUP-V3.bat","RUN-L360-SAFE-CLEANUP-V3.bat",".bat","193","18/6/2026 5:45:11 PM","18/6/2026 5:45:11 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\RUN-PHASE-10ZF-CLOSEOUT.bat","RUN-PHASE-10ZF-CLOSEOUT.bat",".bat","1801","19/6/2026 4:48:31 PM","19/6/2026 4:48:49 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\RUN_L360_ECC_SCANNER.bat","RUN_L360_ECC_SCANNER.bat",".bat","207","18/6/2026 8:33:22 PM","18/6/2026 9:00:41 PM","20/6/2026 11:16:56 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\SAFE_360_Ecosystem_Migration.cmd","SAFE_360_Ecosystem_Migration.cmd",".cmd","7596","16/6/2026 11:13:42 AM","16/6/2026 11:13:43 AM","20/6/2026 11:16:56 AM"
