"Name","FullPath","Extension","SizeBytes","LastModified","Category"
"L360-PHASE10T-FRONTEND-APP-INTEGRATION.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10T-FRONTEND-APP-INTEGRATION.ps1",".ps1","6072","19/6/2026 10:22:17 AM","General"
"L360-PHASE10U-APP-WIRING-FIX.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10U-APP-WIRING-FIX.ps1",".ps1","6200","19/6/2026 11:19:27 AM","General"
"L360-PHASE10U-FRONTEND-BACKEND-CONNECTIVITY.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10U-FRONTEND-BACKEND-CONNECTIVITY.ps1",".ps1","12708","19/6/2026 11:12:25 AM","General"
"L360-PHASE10V-FRONTEND-SMOKE-TESTING.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10V-FRONTEND-SMOKE-TESTING.ps1",".ps1","9728","19/6/2026 11:31:07 AM","Testing"
"L360-PHASE10V-SMOKE-TEST-V2-FIX.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10V-SMOKE-TEST-V2-FIX.ps1",".ps1","7734","19/6/2026 11:43:30 AM","Testing"
"L360-PHASE10W-FRONTEND-BUILD-VALIDATION.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10W-FRONTEND-BUILD-VALIDATION.ps1",".ps1","9041","19/6/2026 11:52:43 AM","Validation"
"L360-PHASE10X-GUI-REPLACEMENT.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X-GUI-REPLACEMENT.ps1",".ps1","10608","19/6/2026 12:26:07 PM","General"
"L360-PHASE10X0-BASELINE-AUDIT.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X0-BASELINE-AUDIT.ps1",".ps1","18940","19/6/2026 12:30:01 PM","General"
"L360-PHASE10X1-DEPLOYMENT-READINESS-CENTRE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X1-DEPLOYMENT-READINESS-CENTRE.ps1",".ps1","17380","19/6/2026 12:59:25 PM","Deployment"
"L360-PHASE10X2-ENVIRONMENT-VALIDATION.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X2-ENVIRONMENT-VALIDATION.ps1",".ps1","19606","19/6/2026 1:19:23 PM","Validation"
"L360-PHASE10X3-RELEASE-VALIDATOR.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X3-RELEASE-VALIDATOR.ps1",".ps1","16519","19/6/2026 1:28:38 PM","General"
"L360-PHASE10X3A-ENTERPRISE-ARCHITECTURE-REGISTRY.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X3A-ENTERPRISE-ARCHITECTURE-REGISTRY.ps1",".ps1","22902","19/6/2026 2:02:32 PM","General"
"L360-PHASE10X4-DEPLOYMENT-SCORING-ENGINE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X4-DEPLOYMENT-SCORING-ENGINE.ps1",".ps1","19326","19/6/2026 2:12:40 PM","Deployment"
"L360-PHASE10X5-EXECUTIVE-DEPLOYMENT-DASHBOARD.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X5-EXECUTIVE-DEPLOYMENT-DASHBOARD.ps1",".ps1","16807","19/6/2026 2:35:08 PM","Deployment"
"L360-PHASE10X6-DEPLOYMENT-GATEKEEPER.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X6-DEPLOYMENT-GATEKEEPER.ps1",".ps1","21156","19/6/2026 3:08:41 PM","Deployment"
"L360-PHASE10X7-MASTER-GOVERNANCE-DOCS.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10X7-MASTER-GOVERNANCE-DOCS.ps1",".ps1","16319","19/6/2026 3:28:29 PM","Governance"
"L360-PHASE10Y-GUI-STABILISATION.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Y-GUI-STABILISATION.ps1",".ps1","3614","19/6/2026 12:32:30 PM","General"
"L360-PHASE10Y0-ENTERPRISE-MASTER-REGISTRY-DIGITAL-TWIN.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Y0-ENTERPRISE-MASTER-REGISTRY-DIGITAL-TWIN.ps1",".ps1","29844","19/6/2026 3:50:45 PM","General"
"L360-PHASE10Z-FINAL-GATE-REGRESSION-AUDIT.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Z-FINAL-GATE-REGRESSION-AUDIT.ps1",".ps1","10753","19/6/2026 5:31:59 PM","General"
"L360-PHASE10Z-GAP-REPAIR-10Z2-10Z3-LIVE-VALIDATOR.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Z-GAP-REPAIR-10Z2-10Z3-LIVE-VALIDATOR.ps1",".ps1","18784","19/6/2026 5:50:50 PM","General"
"L360-PHASE10Z0-ENTERPRISE-OPERATIONS-COMMAND-CENTRE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Z0-ENTERPRISE-OPERATIONS-COMMAND-CENTRE.ps1",".ps1","23990","19/6/2026 4:16:42 PM","General"
"L360-PHASE10Z1-ENTERPRISE-ALERT-ESCALATION-CENTRE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Z1-ENTERPRISE-ALERT-ESCALATION-CENTRE.ps1",".ps1","37279","19/6/2026 5:02:24 PM","General"
"L360-PHASE10Z2-ENTERPRISE-OPERATIONS-ANALYTICS-CENTRE.ps1","C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\L360-PHASE10Z2-ENTERPRISE-OPERATIONS-ANALYTICS-CENTRE.ps1",".ps1","26120","19/6/2026 5:04:42 PM","General"
