"FullName","Name","Extension","Length","LastWriteTime"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\cases.js.doctor-backup","cases.js.doctor-backup",".doctor-backup","5887","12/6/2026 3:58:33 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\clients.js.doctor-backup","clients.js.doctor-backup",".doctor-backup","1437","11/6/2026 1:36:38 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\deadlines.js.doctor-backup","deadlines.js.doctor-backup",".doctor-backup","1631","10/6/2026 12:57:46 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\debug.js.doctor-backup","debug.js.doctor-backup",".doctor-backup","520","14/6/2026 3:16:04 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\documents.js.doctor-backup","documents.js.doctor-backup",".doctor-backup","1090","10/6/2026 12:58:11 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\errors.js.doctor-backup","errors.js.doctor-backup",".doctor-backup","1170","14/6/2026 3:16:16 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\ARCHIVE_DOCTOR_BACKUPS\staff.js.doctor-backup","staff.js.doctor-backup",".doctor-backup","3239","11/6/2026 1:29:49 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\audit\feature-access-audit.log","feature-access-audit.log",".log","1544","20/6/2026 7:27:27 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\client-audit-2026-06-14T16-34-24-462Z\clients.js.bak","clients.js.bak",".bak","1602","14/6/2026 5:31:47 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\client-audit-2026-06-15T01-26-21-974Z\clients.js.bak","clients.js.bak",".bak","2626","15/6/2026 12:34:24 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\clients-auditlogger-migration-2026-06-15T03-38-05-321Z\clients.js.bak","clients.js.bak",".bak","3033","15/6/2026 9:40:31 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\deadlines-audit-2026-06-15T03-07-29-535Z\deadlines.js.bak","deadlines.js.bak",".bak","1857","14/6/2026 5:31:47 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\deadlines-audit-repair-2026-06-15T03-24-52-577Z\deadlines.js.bak","deadlines.js.bak",".bak","1907","15/6/2026 11:07:29 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\delete-client-audit-2026-06-15T01-31-58-553Z\clients.js.bak","clients.js.bak",".bak","2626","15/6/2026 9:26:21 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\delete-client-exact-2026-06-15T01-34-07-132Z\clients.js.bak","clients.js.bak",".bak","2626","15/6/2026 9:31:58 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\documents-audit-2026-06-15T02-46-34-928Z\documents.js.bak","documents.js.bak",".bak","1255","14/6/2026 5:31:47 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\documents-audit-repair-2026-06-15T03-24-52-556Z\documents.js.bak","documents.js.bak",".bak","1305","15/6/2026 10:46:34 AM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\logger-fix\logger.js.bak","logger.js.bak",".bak","768","13/6/2026 6:25:46 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\matters-audit-2026-06-15T01-52-27-345Z\matters.js.bak","matters.js.bak",".bak","3137","14/6/2026 6:11:06 PM"
"C:\Users\jep_edmundrulz\litigation-360-workspace\litigation-360-software\backend\backup\matters-audit-linebased-2026-06-15T01-57-43-619Z\matters.js.bak","matters.js.bak",".bak","3137","15/6/2026 9:52:27 AM"
