"Name","Count"
".md","223"
".json","169"
".txt","117"
".js","84"
".bak","40"
".jsx","39"
".junk","28"
".csv","18"
"","11"
".ps1","7"
".css","6"
".svg","4"
".db","3"
".bat","3"
".png","2"
".before-10ZG","2"
".before-10ZF","2"
".log('[CLEANUP]","1"
".before-full-safe-replace","1"
".before-surgical-routing","1"
".before-auto-surgical-routing","1"
".backup","1"
".env","1"
".log('-'","1"
".join('","1"
".log","1"
".existsSync(candidate))","1"
".log(`[CLEANUP]","1"
